Genotype,Date,Plant ,Slide,Image,SC length,,,,,Stage,good trace?,foci count,foci per chromosome,comments,quality
hei10++,19.11.19,11,3,14,48.2266,,,,,,y,,,,
hei10++,19.11.19,11,3,14,40.4848,,,,,,y,,,,
hei10++,19.11.19,11,3,14,33.7007,,,,,,y,,,,
hei10++,19.11.19,11,3,14,33.0295,,,,,,y,,,,
hei10++,19.11.19,11,3,16,50.9398,,,,,early,y,,,,
hei10++,19.11.19,11,3,16,43.7501,,,,,,y,,,,
hei10++,19.11.19,11,3,16,45.0837,,,,,,y,,,,
hei10++,19.11.19,11,3,16,61.6782,,,,,,y,,,,
hei10++,19.11.19,11,3,16,75.7016,,,,,,n,,,,
hei10++,19.11.19,11,3,18,42.0682,,,,,early,y,,,,
hei10++,19.11.19,11,3,18,50.2908,,,,,,y,,,,
hei10++,19.11.19,11,3,18,40.5439,,,,,,y,,,,
hei10++,19.11.19,11,3,18,55.7644,,,,,,y,,,,
hei10++,19.11.19,11,3,18,65.8066,,,,,,y,,,,
hei10++,5.12.19,16,2,1,56.8175,,,,,late,y,10,2,,1
hei10++,5.12.19,16,2,1,47.6353,,,,,,y,,2,,1
hei10++,5.12.19,16,2,1,41.0829,,,,,,y,,2,invading focus,1
hei10++,5.12.19,16,2,1,36.2948,,,,,,y,,2,,1
hei10++,5.12.19,16,2,1,39.2646,,,,,,y,,2,,1
hei10++,5.12.19,16,2,2,53.4696,,,,,mid/late,n,,,,
hei10++,5.12.19,16,2,2,45.3921,,,,,,y,,,,
hei10++,5.12.19,16,2,2,31.4968,,,,,,y,,,,
hei10++,5.12.19,16,2,2,33.6915,,,,,,y,,,,
hei10++,5.12.19,16,2,2,49.0618,,,,,,y,,,,
hei10++,5.12.19,16,2,3,44.7796,,,,,late,y,13,3,,1
hei10++,5.12.19,16,2,3,48.7024,,,,,,y,,3,,1
hei10++,5.12.19,16,2,3,43.1548,,,,,,y,,2,,1
hei10++,5.12.19,16,2,3,57.1833,,,,,,y,,2,,1
hei10++,5.12.19,16,2,3,37.2863,,,,,,y,,3,,1
hei10++,5.12.19,16,2,4,34.5254,,,,,late,y,10,1,,1
hei10++,5.12.19,16,2,4,35.4666,,,,,,y,,3,,1
hei10++,5.12.19,16,2,4,33.1323,,,,,,y,,1,,1
hei10++,5.12.19,16,2,4,37.2138,,,,,,y,,2,,1
hei10++,5.12.19,16,2,4,46.4966,,,,,,y,,3,,1
hei10++,5.12.19,16,2,5,48.2151,,,,,late,y,6,2,,1
hei10++,5.12.19,16,2,5,40.0275,,,,,,n,,1,,0
hei10++,5.12.19,16,2,5,58.2165,,,,,,y,,1,,1
hei10++,5.12.19,16,2,5,27.0173,,,,,,y,,1,,1
hei10++,5.12.19,16,2,5,31.1521,,,,,,y,,1,,1
hei10++,5.12.19,16,2,6,33.0446,,,,,late,y,12,2,,1
hei10++,5.12.19,16,2,6,34.4531,,,,,,y,,2,,1
hei10++,5.12.19,16,2,6,41.7356,,,,,,y,,3,,1
hei10++,5.12.19,16,2,6,45.4847,,,,,,y,,4,,1
hei10++,5.12.19,16,2,6,51.3697,,,,,,y,,2,,1
hei10++,5.12.19,16,2,7,44.0209,,,,,late/mid,y,13,,,
hei10++,5.12.19,16,2,7,59.2482,,,,,,y,,,,
hei10++,5.12.19,16,2,7,38.3218,,,,,,n,,,,
hei10++,5.12.19,16,2,7,52.6024,,,,,,y,,,,
hei10++,5.12.19,16,2,7,42.3961,,,,,,n,,,,
